type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.098720479	37.012499882	1521.0						
T	-1.098716326	37.012538211	1521.1						
T	-1.098707905	37.012568016	1521.2						
T	-1.098708045	37.012623353	1521.3						
T	-1.098708206	37.012687179	1521.5						
T	-1.098708335	37.012738221	1521.6						
T	-1.098704155	37.012763735	1521.7						
T	-1.098695751	37.012797748	1521.8						
T	-1.098683127	37.012840255	1521.9						
T	-1.098674706	37.012865753	1522.0						
T	-1.098666285	37.012891247	1522.0						
T	-1.098653612	37.012912489	1522.1						
T	-1.098645184	37.012933727	1522.2						
T	-1.098640986	37.012950717	1522.2						
T	-1.098632548	37.012967704	1522.3						
T	-1.098624122	37.012984692	1522.3						
T	-1.098615697	37.013001678	1522.4						
T	-1.098611522	37.013022906	1522.5						
T	-1.098603123	37.013048375	1522.5						
T	-1.098598973	37.013078083	1522.6						
T	-1.098590676	37.013137479	1522.8						
T	-1.098586591	37.013188372	1523.0						
T	-1.098582444	37.013218050	1523.1						
T	-1.098582531	37.013247724	1523.2						
T	-1.098578412	37.013290105	1523.3						
T	-1.098578437	37.013307057	1523.3						
T	-1.098574237	37.013328245	1523.4						
T	-1.098570056	37.013353665	1523.4						
T	-1.098565983	37.013408725	1523.3						
T	-1.098561886	37.013455299	1523.3						
T	-1.098557752	37.013489162	1523.2						
T	-1.098553606	37.013518787	1523.2						
T	-1.098536757	37.013548405	1523.2						
T	-1.098545394	37.013603397	1523.1						
T	-1.098545413	37.013637267	1523.0						
T	-1.098545296	37.013662732	1523.0						
T	-1.098545218	37.013679712	1523.0						
T	-1.098545101	37.013705187	1522.9						
T	-1.098557711	37.013739131	1522.9						
T	-1.098574679	37.013739116	1522.9						
T	-1.098600129	37.013739094	1522.9						
T	-1.098608625	37.013734843	1522.9						
T	-1.098621420	37.013709375	1522.9						
T	-1.098629973	37.013683914	1522.9						
T	-1.098634290	37.013654224	1522.9						
T	-1.098638582	37.013620317	1523.0						
T	-1.098638489	37.013586482	1523.0						
T	-1.098638372	37.013544178	1523.0						
T	-1.098638302	37.013518790	1523.1						
T	-1.098642485	37.013501864	1523.1						
T	-1.098642416	37.013476469	1523.1						
T	-1.098655026	37.013446841	1523.1						
T	-1.098659154	37.013408734	1523.1						
T	-1.098663318	37.013383324	1523.2						
T	-1.098663239	37.013353673	1523.2						
T	-1.098667369	37.013315542	1523.2						
T	-1.098671535	37.013290116	1523.1						
T	-1.098671492	37.013264684	1523.0						
T	-1.098675679	37.013235009	1522.9						
T	-1.098675612	37.013209571	1522.9						
T	-1.098683991	37.013171407	1522.7						
T	-1.098688176	37.013150200	1522.7						
T	-1.098692361	37.013128990	1522.6						
T	-1.098696547	37.013107778	1522.6						
T	-1.098700734	37.013086563	1522.5						
T	-1.098704932	37.013069588	1522.4						
T	-1.098709098	37.013039879	1522.4						
T	-1.098713286	37.013018654	1522.3						
T	-1.098717475	37.012997427	1522.2						
T	-1.098721664	37.012976197	1522.2						
T	-1.098725865	37.012959210	1522.1						
T	-1.098730056	37.012937975	1522.1						
T	-1.098729972	37.012903992	1522.0						
T	-1.098738325	37.012848754	1521.8						
T	-1.098742476	37.012810502	1521.8						
T	-1.098750915	37.012789246	1521.7						
T	-1.098755069	37.012750979	1521.6						
T	-1.098755008	37.012725462	1521.5						
T	-1.098767647	37.012682924	1521.4						
T	-1.098771834	37.012657396	1521.4						
T	-1.098780249	37.012623353	1521.3						
T	-1.098788686	37.012597815	1521.2						
T	-1.098797114	37.012568016	1521.2						
T	-1.098809801	37.012542469	1521.1						
T	-1.098822482	37.012512660	1521.0						
T	-1.098826722	37.012508401	1521.0						
T	-1.098839396	37.012474325	1521.0						
T	-1.098864789	37.012423197	1520.9						
T	-1.098881713	37.012384840	1520.9						
T	-1.098894390	37.012346473	1520.8						
T	-1.098907103	37.012325155	1520.8						
T	-1.098915574	37.012308098	1520.8						
T	-1.098915534	37.012286774	1520.7						
T	-1.098919754	37.012269713	1520.7						
T	-1.098923975	37.012252650	1520.7						
T	-1.098928196	37.012235585	1520.7						
T	-1.098932403	37.012209984	1520.7						
T	-1.098936625	37.012192914	1520.6						
T	-1.098945093	37.012171574	1520.6						
T	-1.098949302	37.012145963	1520.6						
T	-1.098953526	37.012128886	1520.6						
T	-1.098957735	37.012103268	1520.5						
T	-1.098966208	37.012081916	1520.5						
T	-1.098983177	37.012052019	1520.5						
T	-1.099008680	37.012034932	1520.4						
T	-1.099034212	37.012034932	1520.4						
T	-1.099055501	37.012043476	1520.5						
T	-1.099072562	37.012073375	1520.5						
T	-1.099076857	37.012103269	1520.5						
T	-1.099076898	37.012133156	1520.6						
